city,country,latitude,longitude,date,cloudiness,humidity,max_temp,windspeed
Pāliyād,IN,22.25,71.5667,1651192432,0,45,84.25,12.62
Labuan,MY,5.2767,115.2417,1651192432,20,83,82.76,2.3
Plettenberg Bay,ZA,-34.0527,23.3716,1651192433,5,69,60.13,7.16
Okhotsk,RU,59.3833,143.3,1651192433,100,71,32.65,17.11
Port Augusta,AU,-32.5,137.7667,1651192433,100,53,70.45,5.79
Sibolga,ID,1.7427,98.7792,1651192434,92,84,79.56,1.77
Ziway,ET,7.9333,38.7167,1651192434,66,77,64.8,1.95
Beroroha,MG,-21.6667,45.1667,1651192435,0,77,65.03,4.47
Xining,CN,36.6167,101.7667,1651192435,100,83,42.1,4.65
Tarazá,CO,7.5836,-75.4007,1651192435,100,97,74.88,1.79
Dingle,PH,10.9995,122.6711,1651192436,100,74,83.91,10.02
Sakakah,SA,29.9697,40.2064,1651192436,0,49,65.77,5.64
Isla Vista,US,34.4133,-119.861,1651192361,0,52,70.79,5.75
Apomu,NG,7.3333,4.1833,1651192437,29,93,73.45,1.5
Mayo,US,38.8876,-76.5119,1651192437,0,40,56.28,5.75
Airai,TL,-8.9266,125.4092,1651192438,70,51,71.82,2.39
Kavieng,PG,-2.5744,150.7967,1651192439,46,64,86.11,7.14
Karratha,AU,-20.7377,116.8463,1651192439,100,76,73.74,14.65
Itarema,BR,-2.9248,-39.9167,1651192439,12,90,76.41,7.58
Waipawa,NZ,-41.4122,175.5153,1651192440,6,57,57.42,6.91
Puerto Colombia,CO,10.9878,-74.9547,1651192441,100,83,77.09,21.7
Ekhabi,RU,53.5102,142.9671,1651192441,100,98,31.24,19.93
Kavaratti,IN,10.5669,72.642,1651192442,70,75,84.69,6.29
Palana,RU,59.1167,159.9667,1651192442,5,71,34.75,18.99
Makakilo City,US,21.3469,-158.0858,1651192443,75,53,82.72,14.97
Ossora,RU,59.2353,163.0719,1651192443,100,99,31.62,15.14
Corinth,GR,37.9407,22.9573,1651192444,77,59,60.42,4.54
Coos Bay,US,43.3665,-124.2179,1651192444,100,84,56.32,16.11
San Patricio,US,28.017,-97.5169,1651192445,30,77,80.55,14.65
Aksu,CN,41.1231,80.2644,1651192445,0,56,53.78,10.38
Bathurst,AU,-33.4166,149.5806,1651192155,86,99,63.82,6.02
Datong,CN,40.0936,113.2914,1651192446,100,40,54.95,7.99
Kontagora,NG,10.3999,5.4695,1651192446,100,56,80.22,3.6
Shingū,JP,33.7333,135.9833,1651192447,100,96,62.13,9.62
Amapá,BR,1.0,-52.0,1651192447,100,99,72.86,2.71
Purpe,RU,64.4803,76.6897,1651192448,100,96,24.85,13.62
Saint-Augustin,CA,51.226,-58.6502,1651192448,100,98,34.14,16.4
Craig,US,40.5153,-107.5464,1651192448,0,17,67.95,13.8
Ndélé,CF,8.4109,20.6473,1651192449,100,69,73.74,5.1
Belyy Yar,RU,53.6039,91.3903,1651192449,0,52,42.69,6.71
Sant Pere de Ribes,ES,41.2667,1.7667,1651192450,91,69,65.28,3.76
Igarka,RU,67.4667,86.5833,1651192450,100,84,24.48,13.49
Mweka,CD,-4.85,21.5667,1651192451,100,100,67.98,1.83
Epe,NG,6.5841,3.9834,1651192451,77,86,77.38,1.52
Hobyo,SO,5.3505,48.5268,1651192452,23,75,83.14,7.7
Kulachi,PK,31.9286,70.4592,1651192452,70,19,86.59,8.75
Monchegorsk,RU,67.9397,32.8739,1651192452,100,83,17.24,5.1
Broken Hill,AU,-31.95,141.4333,1651192453,99,68,67.71,9.22
Bahía Blanca,AR,-38.7196,-62.2724,1651192209,71,44,45.12,6.49
Abu Dhabi,AE,24.4667,54.3667,1651192279,0,66,82.51,5.75
Córdoba,AR,-31.4135,-64.1811,1651192454,0,49,52.75,3.44
Lata,PT,40.1629,-8.3327,1651192454,33,86,56.07,3.76
Dukat,RU,62.55,155.55,1651192455,100,90,27.7,11.43
Turukhansk,RU,65.8167,87.9833,1651192455,100,98,33.48,6.35
Moussoro,TD,13.6408,16.4901,1651192455,100,29,87.78,8.93
Māngrol,IN,21.1167,70.1167,1651192456,0,76,81.54,10.94
Panlaitan,PH,12.1191,119.8486,1651192456,100,74,85.26,19.06
San Isidro,PE,-12.1167,-77.05,1651192457,75,72,72.01,10.36
Miraflores,MX,19.2167,-98.8083,1651192457,83,51,75.85,1.79
Bestöbe,KZ,52.4994,73.0975,1651192457,100,51,58.46,9.51
Heiligenhafen,DE,54.3667,10.9833,1651192458,11,87,37.74,9.75
Cabedelo,BR,-6.9811,-34.8339,1651192458,96,83,77.67,11.1
San Cristobal,VE,7.7669,-72.225,1651192459,99,93,73.58,0.51
Rumonge,BI,-3.9736,29.4386,1651192459,88,86,70.59,2.44
Porbandar,IN,21.6422,69.6093,1651192460,0,77,81.99,8.03
Aykhal,RU,66.0,111.5,1651192460,29,91,33.12,9.28
Bilibino,RU,68.0546,166.4372,1651192460,100,92,31.12,1.66
Thinadhoo,MV,0.5333,72.9333,1651192461,65,67,85.05,7.78
Aranda de Duero,ES,41.6704,-3.6892,1651192461,15,88,47.25,4.83
Ōhara,JP,35.25,140.3833,1651192461,100,87,61.61,15.41
Castelo do Piauí,BR,-5.3222,-41.5525,1651192462,100,84,75.18,2.89
Qarchī Gak,AF,37.04,66.7889,1651192462,100,30,80.01,13.53
Walvis Bay,NA,-22.9575,14.5053,1651192463,1,52,67.15,4.61
Panabá,MX,21.2833,-88.2667,1651192463,5,73,76.51,10.13
Te Anau,NZ,-45.4167,167.7167,1651192463,100,66,58.3,2.1
High Level,CA,58.5169,-117.136,1651192464,75,53,44.71,24.16
Stoughton,US,42.1251,-71.1023,1651192464,65,38,48.63,5.99
Gisborne,NZ,-38.6533,178.0042,1651192465,99,75,58.03,4.99
Bafoulabé,ML,13.8065,-10.8321,1651192465,20,19,91.54,3.33
Andra,RU,62.5147,65.8878,1651192465,97,94,28.38,9.89
Ranong,TH,9.9658,98.6348,1651192466,100,80,82.49,0.54
Ninghai,CN,29.2892,121.4247,1651192466,100,91,57.4,9.98
Kiryat Gat,IL,31.61,34.7642,1651192466,0,57,69.4,3.33
Iranshahr,IR,27.2025,60.6848,1651192467,0,27,79.14,4.61
Tabou,CI,4.423,-7.3528,1651192467,98,79,79.74,1.19
Cascais,PT,38.6979,-9.4215,1651192468,2,70,61.93,28.99
Richards Bay,ZA,-28.783,32.0377,1651192414,0,88,62.02,9.57
City of San Pedro,PH,14.35,121.0167,1651192238,20,71,87.31,8.05
Yangi Marg`ilon,UZ,40.4272,71.7189,1651192468,100,67,63.32,2.3
Coquimbo,CL,-29.9533,-71.3436,1651192469,0,77,60.53,3.44
Kalemie,CD,-5.9475,29.1947,1651192469,87,87,70.77,6.98
Guarapari,BR,-20.6667,-40.4975,1651192389,0,89,75.88,7.9
Roebourne,AU,-20.7833,117.1333,1651192470,100,77,73.56,13.42
Zhaotong,CN,27.3167,103.7167,1651192470,5,63,60.17,1.3
Aitape,PG,-3.1374,142.3475,1651192470,99,64,86.04,2.51
Balakhta,RU,55.38,91.6,1651192471,100,56,50.29,6.69
Ucluelet,CA,48.9329,-125.5528,1651192471,100,76,53.1,1.01
Barcelona,ES,41.3888,2.159,1651192212,0,66,64.54,2.3
Nakhon Thai,TH,17.1006,100.8374,1651192472,100,76,81.1,1.07
Melfort,CA,52.8667,-104.6177,1651192472,25,54,53.73,5.32
Lubango,AO,-14.9172,13.4925,1651192472,67,66,61.66,4.43
Porto-Novo,BJ,6.4965,2.6036,1651192473,98,78,78.62,1.95
Kalianget,ID,-7.05,113.9333,1651192473,28,76,83.93,6.76
Sistranda,NO,63.7256,8.834,1651192473,100,68,37.36,13.33
Fare,PF,-16.7,-151.0167,1651192474,0,70,81.93,22.73
Tegul'det,RU,57.3064,88.1667,1651192474,100,78,52.99,10.38
Micheweni,TZ,-4.9667,39.8333,1651192475,73,87,77.45,12.68
Ivanava,BY,52.1451,25.5365,1651192475,15,81,36.95,3.09
Mosquera,CO,4.7059,-74.2302,1651192475,75,100,53.69,2.3
Berbera,SO,10.4396,45.0143,1651192476,28,81,83.17,1.95
Los Llanos de Aridane,ES,28.6585,-17.9182,1651192476,100,92,62.35,12.66
Ahipara,NZ,-35.1667,173.1667,1651192477,23,57,68.0,6.62
Vallenar,CL,-28.5708,-70.7581,1651192477,0,39,66.51,3.31
Zhuhai,CN,22.2769,113.5678,1651192477,40,89,85.86,8.05
Bologoye,RU,57.8799,34.1068,1651192478,94,74,28.53,4.85
Patna,IN,25.6,85.1167,1651192478,40,89,80.53,6.91
Séguéla,CI,7.9611,-6.6731,1651192478,100,94,71.98,3.56
Staryy Nadym,RU,65.6118,72.6842,1651192479,100,91,22.51,11.03
Byron Bay,AU,-28.65,153.6167,1651192479,54,83,75.09,4.41
Maniitsoq,GL,65.4167,-52.9,1651192480,100,99,31.3,10.02
Kahului,US,20.8947,-156.47,1651192480,20,59,87.82,17.27
Lavrentiya,RU,65.5833,-171.0,1651192481,99,92,30.74,11.7
Tulum,MX,20.2167,-87.4667,1651192206,5,78,76.19,6.38
Sangar,RU,63.9242,127.4739,1651192481,17,78,27.61,3.2
Raudeberg,NO,61.9875,5.1352,1651192481,100,86,41.67,3.74
Srednekolymsk,RU,67.45,153.6833,1651192482,98,83,21.83,7.23
Katobu,ID,-4.9408,122.5276,1651192482,80,72,83.8,3.74
Derzhavīnsk,KZ,51.1,66.3167,1651192482,100,46,58.66,8.46
Verāval,IN,20.9,70.3667,1651192483,0,75,81.41,11.74
Talnakh,RU,69.4865,88.3972,1651192483,100,81,16.21,3.04
Tortosa,ES,40.8125,0.5216,1651192484,29,53,59.9,5.79
Dubovyy Umët,RU,52.9763,50.2857,1651192484,95,77,38.32,5.46
Arrondissement de Saint-Denis,FR,48.9167,2.3333,1651192484,0,64,58.14,10.36
Muros,ES,42.7762,-9.0603,1651192485,42,83,56.08,9.1
Namatanai,PG,-3.6667,152.4333,1651192485,100,63,86.16,5.1
Dali,CN,25.7,100.1833,1651192486,0,42,66.99,4.45
Rosarito,MX,32.3333,-117.0333,1651192486,8,71,66.42,9.62
La Ronge,CA,55.1001,-105.2842,1651192486,75,46,50.25,6.91
Toguchin,RU,55.2353,84.3858,1651192400,99,66,55.83,14.0
San Policarpo,PH,12.1791,125.5072,1651192487,26,79,82.56,10.09
Falmouth,GB,50.1544,-5.0711,1651192487,40,81,49.1,4.61
Olinda,BR,-8.0089,-34.8553,1651192487,75,69,82.13,9.22
Hays,US,30.0502,-98.0336,1651192488,89,59,80.82,11.01
Bereda,ES,43.2686,-7.5406,1651192488,42,100,46.58,1.45
Tessalit,ML,20.1986,1.0114,1651192489,0,11,80.08,5.99
Upata,VE,8.0086,-62.3989,1651192489,97,88,74.19,3.76
Phan Thiet,VN,10.9333,108.1,1651192489,100,92,77.0,10.27
Havre-St-Pierre,CA,50.2334,-63.5986,1651192490,100,87,35.96,16.11
Montgomery,US,39.1501,-77.1997,1651192208,0,37,54.82,5.75
Borba,BR,-4.3878,-59.5939,1651192490,100,98,74.55,2.82
Portree,GB,57.4129,-6.1942,1651192491,16,82,43.52,0.98
Mitsamiouli,KM,-11.3847,43.2844,1651192491,71,75,80.87,20.56
Vágur,FO,61.4732,-6.8119,1651192491,10,77,44.08,3.18
Kotka,FI,60.4664,26.9458,1651192492,100,87,33.06,12.5
Omboué,GA,-1.5746,9.2618,1651192492,76,90,77.43,3.76
Jagatsinghapur,IN,20.2667,86.1667,1651192492,70,84,82.76,8.05
Maroantsetra,MG,-15.4333,49.7333,1651192493,88,84,73.29,7.78
Tarauacá,BR,-8.1614,-70.7656,1651192493,98,93,75.06,1.5
Lamu,KE,-2.2717,40.902,1651192494,95,80,80.82,10.83
Chunan,CN,24.5277,110.548,1651192494,100,95,66.56,5.21
Ishigaki,JP,24.3448,124.1572,1651192494,20,89,84.33,13.8
Hervey Bay,AU,-25.2986,152.8535,1651192274,97,71,79.02,5.01
Mountain Home,US,43.133,-115.6912,1651192495,75,100,45.88,25.32
Den Helder,NL,52.9599,4.7593,1651192495,100,78,46.38,13.0
Katete,UG,-0.7818,29.7544,1651192496,100,99,62.24,1.97
Sirte,LY,31.2089,16.5887,1651192496,0,86,63.28,15.21
São Miguel do Araguaia,BR,-13.275,-50.1628,1651192247,0,62,74.55,4.43
Port-Cartier,CA,50.0334,-66.8654,1651192496,100,76,34.75,15.59
Avera,US,33.194,-82.5271,1651192497,4,49,67.51,4.54
Vanimo,PG,-2.6741,141.3028,1651192497,100,62,86.85,1.1
Gambēla,ET,8.25,34.5833,1651192498,100,85,72.99,2.17
Burns Lake,CA,54.2331,-125.7533,1651192498,100,55,45.82,8.63
Isabela,PH,6.7085,121.9711,1651192498,100,85,86.05,5.91
West Bay,KY,19.3667,-81.4167,1651192499,20,80,80.01,6.91
Vryburg,ZA,-26.9566,24.7284,1651192499,98,66,56.28,11.52
