city,country,latitude,longitude,date,cloudiness,humidity,max_temp,windspeed
Saint-Philippe,RE,-21.3585,55.7679,1651192320,41,81,74.79,12.48
Guerrero Negro,MX,27.9769,-114.0611,1651192184,0,63,63.75,21.18
Provideniya,RU,64.3833,-173.3,1651192320,75,80,32.36,20.13
Upernavik,GL,72.7868,-56.1549,1651192321,100,90,13.33,5.17
Tiksi,RU,71.6872,128.8694,1651192321,72,84,16.92,7.34
Popondetta,PG,-8.7537,148.2534,1651192322,100,56,89.51,3.38
Nara,JP,34.6851,135.8049,1651192322,100,60,67.37,9.86
Saint Anthony,US,45.0205,-93.218,1651192323,100,62,51.42,16.11
Faanui,PF,-16.4833,-151.75,1651192323,0,72,81.9,23.15
Thompson,CA,55.7435,-97.8558,1651192324,75,39,46.56,9.22
Husavik,IS,66.0449,-17.3389,1651192324,8,65,42.66,4.97
Bengkulu,ID,-3.8004,102.2655,1651192325,95,77,80.1,3.22
Krasnosel'kup,RU,65.7,82.4667,1651192325,96,95,25.86,13.56
Departamento de Maldonado,UY,-34.6667,-54.9167,1651192325,5,59,56.23,6.33
Alice Springs,AU,-23.7,133.8833,1651192230,2,24,83.75,8.05
Morant Bay,JM,17.8815,-76.4093,1651192326,34,81,80.22,8.77
Acarí,PE,-15.4311,-74.6158,1651192326,99,82,68.22,2.71
Suez,EG,29.9737,32.5263,1651192327,4,34,65.95,5.39
Huánuco,PE,-9.9329,-76.2415,1651192327,100,94,63.3,2.8
Geraldton,AU,-28.7667,114.6,1651192285,0,82,57.61,6.91
Uddevalla,SE,58.3478,11.9424,1651192328,43,86,42.22,2.01
Rio Grande,BR,-32.035,-52.0986,1651192328,0,81,51.94,9.84
Port Townsend,US,48.117,-122.7605,1651192329,75,73,55.69,8.01
Koungou,YT,-12.7336,45.2042,1651192329,20,74,82.11,18.41
Dolores,AR,-36.3132,-57.6792,1651192329,0,60,42.55,7.36
Rocha,UY,-34.4833,-54.3333,1651192330,3,63,46.76,6.8
San Vicente de Cañete,PE,-13.0751,-76.3835,1651192330,92,89,66.52,3.04
Vao,NC,-22.6667,167.4833,1651192331,100,71,74.86,21.18
Jiexiu,CN,37.0244,111.9125,1651192331,100,62,55.35,4.88
Hofn,IS,64.2539,-15.2082,1651192332,4,60,45.43,9.15
La Asuncion,VE,11.0333,-63.8628,1651192332,96,88,78.49,13.4
Lagoa,PT,39.05,-27.9833,1651192332,100,83,63.16,23.87
Cape Town,ZA,-33.9258,18.4232,1651192188,75,88,61.27,8.05
Saint George,US,37.1041,-113.5841,1651192228,0,4,82.99,20.71
Comodoro Rivadavia,AR,-45.8667,-67.5,1651192174,0,52,39.06,4.61
Iqaluit,CA,63.7506,-68.5145,1651192161,75,67,10.13,12.66
Chutove,UA,49.7104,35.1603,1651192333,100,67,46.31,7.16
Turochak,RU,52.2576,87.1224,1651192334,50,61,49.41,2.89
Chui,UY,-33.6971,-53.4616,1651192334,0,65,50.67,9.55
Naze,JP,28.3667,129.4833,1651192334,63,87,76.12,20.0
Codrington,AU,-38.2667,141.9667,1651192335,100,53,70.25,15.43
Cherskiy,RU,68.75,161.3,1651192335,99,90,20.68,10.96
Yulara,AU,-25.2406,130.9889,1651192336,100,40,73.24,14.97
Beisfjord,NO,68.3751,17.5988,1651192336,100,94,30.04,6.13
Nanortalik,GL,60.1432,-45.2371,1651192336,99,83,38.17,4.32
Jalu,LY,29.0331,21.5482,1651192337,0,13,75.92,4.29
Lethem,GY,3.3803,-59.7968,1651192337,100,75,79.38,7.76
Bar Harbor,US,44.3876,-68.2039,1651192338,100,83,41.92,14.0
Buala,SB,-8.145,159.5921,1651192338,100,72,84.9,3.96
Ixtapa,MX,20.7,-105.2,1651192338,0,78,79.23,12.66
Gizo Government Station,SB,-8.103,156.8419,1651192339,45,69,84.67,1.54
Narsaq,GL,60.9167,-46.05,1651192339,100,83,46.62,0.87
Meulaboh,ID,4.1363,96.1285,1651192340,90,87,78.82,2.66
Labuhan,ID,-6.8844,112.2051,1651192340,100,81,82.08,3.47
Makokou,GA,0.5738,12.8642,1651192340,100,99,69.75,1.23
Castro,BR,-24.7911,-50.0119,1651192341,100,91,62.53,4.07
Charleston,US,32.7766,-79.9309,1651192202,0,61,68.02,10.36
Cap Malheureux,MU,-19.9842,57.6142,1651192341,14,80,74.46,12.84
Dzaoudzi,YT,-12.7887,45.2699,1651192342,20,74,82.29,18.41
Aklavik,CA,68.2191,-135.0107,1651192342,100,81,24.31,11.03
Tasiilaq,GL,65.6145,-37.6368,1651192342,39,85,30.36,5.5
Mount Gambier,AU,-37.8333,140.7667,1651192240,75,72,66.11,12.66
Dikson,RU,73.5069,80.5464,1651192343,22,89,8.37,20.74
Praia da Vitória,PT,38.7333,-27.0667,1651192343,75,100,61.75,26.13
Saskylakh,RU,71.9167,114.0833,1651192344,100,84,21.07,9.48
Fomboni,KM,-12.28,43.7425,1651192344,100,69,81.28,19.24
